State,City,Pincode,First Mile (TRUE/FALSE),Last Mile (TRUE/FALSE),Reverse Pickup (TRUE/FALSE),Route Code,COD Limit,Prepaid Limit,Doorstep Return (TRUE/FALSE),Doorstep QC (TRUE/FALSE),Pickup CutOff (11:30/17:00),Installation (TRUE/FALSE)
Delhi,Central Delhi,110001,True,True,,,,,False,True,,False
Delhi,Central Delhi,110002,True,True,,,,,False,True,,False
Delhi,Central Delhi,110003,True,True,,,,,False,True,,False
Delhi,Central Delhi,110004,True,True,,,,,False,True,,False
Delhi,New Delhi,110005,True,True,,,,,False,True,,False
Delhi,Central Delhi,110006,True,True,,,,,False,True,,False
Delhi,North Delhi,110007,True,True,,,,,False,True,,False
Delhi,Central Delhi,110008,True,True,,,,,False,True,,False
Delhi,North West Delhi,110009,True,True,,,,,False,True,,False
Delhi,South West Delhi,110010,True,True,,,,,False,True,,False
Delhi,Central Delhi,110011,True,True,,,,,False,True,,False
Delhi,Central Delhi,110012,True,True,,,,,False,True,,False
Delhi,South Delhi,110013,True,True,,,,,False,True,,False
Delhi,South Delhi,110014,True,True,,,,,False,True,,False
Delhi,West Delhi,110015,True,True,,,,,False,True,,False
Delhi,South West Delhi,110016,True,True,,,,,False,True,,False
Delhi,South Delhi,110017,True,True,,,,,False,True,,False
Delhi,West Delhi,110018,True,True,,,,,False,True,,False
Delhi,South Delhi,110019,True,True,,,,,False,True,,False
Delhi,New Delhi,110020,True,True,,,,,False,True,,False
Delhi,South West Delhi,110021,True,True,,,,,False,True,,False
Delhi,South West Delhi,110022,True,True,,,,,False,True,,False
Delhi,South West Delhi,110023,True,True,,,,,False,True,,False
Delhi,South Delhi,110024,True,True,,,,,False,True,,False
Delhi,South Delhi,110025,True,True,,,,,False,True,,False
Delhi,West Delhi,110026,True,True,,,,,False,True,,False
Delhi,West Delhi,110027,True,True,,,,,False,True,,False
Delhi,South West Delhi,110028,True,True,,,,,False,True,,False
Delhi,New Delhi,110029,True,True,,,,,False,True,,False
Delhi,South West Delhi,110030,True,True,,,,,False,True,,False
Delhi,East Delhi,110031,True,True,,,,,False,True,,False
Delhi,East Delhi,110032,True,True,,,,,False,True,,False
Delhi,North West Delhi,110033,True,True,,,,,False,True,,False
Delhi,North West Delhi,110034,True,True,,,,,False,True,,False
Delhi,North West Delhi,110035,True,True,,,,,False,True,,False
Delhi,North West Delhi,110036,True,True,,,,,False,True,,False
Delhi,South West Delhi,110037,True,True,,,,,False,True,,False
Delhi,South West Delhi,110038,True,True,,,,,False,True,,False
Delhi,North West Delhi,110039,True,True,,,,,False,True,,False
Delhi,North West Delhi,110040,True,True,,,,,False,True,,False
Delhi,West Delhi,110041,True,True,,,,,False,True,,False
Delhi,North West Delhi,110042,True,True,,,,,False,True,,False
Delhi,South West Delhi,110043,True,True,,,,,False,True,,False
Delhi,South Delhi,110044,True,True,,,,,False,True,,False
Delhi,South West Delhi,110045,True,True,,,,,False,True,,False
Delhi,South West Delhi,110046,True,True,,,,,False,True,,False
Delhi,South West Delhi,110047,True,True,,,,,False,True,,False
Delhi,South Delhi,110048,True,True,,,,,False,True,,False
Delhi,New Delhi,110049,True,True,,,,,False,True,,False
Delhi,South Delhi,110050,True,True,,,,,False,True,,False
Delhi,East Delhi,110051,True,True,,,,,False,True,,False
Delhi,North West Delhi,110052,True,True,,,,,False,True,,False
Delhi,East Delhi,110053,True,True,,,,,False,True,,False
Delhi,North Delhi,110054,True,True,,,,,False,True,,False
Delhi,Central Delhi,110055,True,True,,,,,False,True,,False
Delhi,North West Delhi,110056,True,True,,,,,False,True,,False
Delhi,South West Delhi,110057,True,True,,,,,False,True,,False
Delhi,West Delhi,110058,True,True,,,,,False,True,,False
Delhi,West Delhi,110059,True,True,,,,,False,True,,False
Delhi,Central Delhi,110060,True,True,,,,,False,True,,False
Delhi,South West Delhi,110061,True,True,,,,,False,True,,False
Delhi,South Delhi,110062,True,True,,,,,False,True,,False
Delhi,West Delhi,110063,True,True,,,,,False,True,,False
Delhi,South West Delhi,110064,True,True,,,,,False,True,,False
Delhi,South Delhi,110065,True,True,,,,,False,True,,False
Delhi,South West Delhi,110066,True,True,,,,,False,True,,False
Delhi,South West Delhi,110067,True,True,,,,,False,True,,False
Delhi,South West Delhi,110068,True,True,,,,,False,True,,False
Delhi,Central Delhi,110069,True,True,,,,,False,True,,False
Delhi,South West Delhi,110070,True,True,,,,,False,True,,False
Delhi,South West Delhi,110071,True,True,,,,,False,True,,False
Delhi,South West Delhi,110072,True,True,,,,,False,True,,False
Delhi,South West Delhi,110073,True,True,,,,,False,True,,False
Delhi,South West Delhi,110074,True,True,,,,,False,True,,False
Delhi,South West Delhi,110075,True,True,,,,,False,True,,False
Delhi,South Delhi,110076,True,True,,,,,False,True,,False
Delhi,South West Delhi,110077,True,True,,,,,False,True,,False
Delhi,South West Delhi,110078,True,True,,,,,False,True,,False
Delhi,Delhi,110079,True,True,,,,,False,True,,False
Delhi,South Delhi,110080,True,True,,,,,False,True,,False
Delhi,North West Delhi,110081,True,True,,,,,False,True,,False
Delhi,North West Delhi,110082,True,True,,,,,False,True,,False
Delhi,North West Delhi,110083,True,True,,,,,False,True,,False
Delhi,North Delhi,110084,True,True,,,,,False,True,,False
Delhi,North Delhi,110085,True,True,,,,,False,True,,False
Delhi,North West Delhi,110086,True,True,,,,,False,True,,False
Delhi,West Delhi,110087,True,True,,,,,False,True,,False
Delhi,North West Delhi,110088,True,True,,,,,False,True,,False
Delhi,North West Delhi,110089,True,True,,,,,False,True,,False
Delhi,North West Delhi,110090,True,True,,,,,False,True,,False
Delhi,East Delhi,110091,True,True,,,,,False,True,,False
Delhi,East Delhi,110092,True,True,,,,,False,True,,False
Delhi,East Delhi,110093,True,True,,,,,False,True,,False
Delhi,East Delhi,110094,True,True,,,,,False,True,,False
Delhi,East Delhi,110095,True,True,,,,,False,True,,False
Delhi,East Delhi,110096,True,True,,,,,False,True,,False
Delhi,Delhi,110097,True,True,,,,,False,True,,False
Delhi,North West Delhi,110098,True,True,,,,,False,True,,False
Delhi,Delhi,110100,True,True,,,,,False,True,,False
Delhi,East Delhi,110101,True,True,,,,,False,True,,False
Delhi,Delhi,110102,True,True,,,,,False,True,,False
Delhi,East Delhi,110103,True,True,,,,,False,True,,False
Delhi,East Delhi,110104,True,True,,,,,False,True,,False
Delhi,East Delhi,110105,True,True,,,,,False,True,,False
Delhi,East Delhi,110106,True,True,,,,,False,True,,False
Delhi,East Delhi,110107,True,True,,,,,False,True,,False
Delhi,East Delhi,110108,True,True,,,,,False,True,,False
Delhi,East Delhi,110109,True,True,,,,,False,True,,False
Delhi,East Delhi,110110,True,True,,,,,False,True,,False
Delhi,East Delhi,110112,True,True,,,,,False,True,,False
Delhi,East Delhi,110113,True,True,,,,,False,True,,False
Delhi,East Delhi,110114,True,True,,,,,False,True,,False
Delhi,East Delhi,110115,True,True,,,,,False,True,,False
Delhi,East Delhi,110116,True,True,,,,,False,True,,False
Delhi,East Delhi,110117,True,True,,,,,False,True,,False
Delhi,East Delhi,110118,True,True,,,,,False,True,,False
Delhi,East Delhi,110119,True,True,,,,,False,True,,False
Delhi,East Delhi,110120,True,True,,,,,False,True,,False
Delhi,Delhi,110121,True,True,,,,,False,True,,False
